zipcode,price,sqft_living,bedrooms,
98028,770000,3820,4,
98038,455000,2210,4,
98118,405000,2390,3,
98031,304900,2600,4,
98178,170000,860,2,
98122,2050000,3830,5,
98053,780000,3500,4,
98028,330000,2420,3,
98030,370000,2720,4,
98072,467000,2500,5,
98034,405000,1670,3,
98006,675000,2900,5,
98006,500000,1640,2,
98166,389999,1890,4,
98034,630000,2950,4,
98001,360000,2160,4,
98056,580000,3280,4,
98126,550000,1970,3,
98075,879000,3360,4,
98042,265000,1320,3,
98059,446500,2650,3,
98108,404000,2030,3,
98188,267500,1590,3,
98074,3080000,4550,4,
98003,335000,2440,3,
98117,576000,1940,3,
98038,208633,2040,3,
98166,315000,2200,3,
98112,725000,1920,3,
98177,550000,1800,4,
98074,610750,2180,4,
98105,550700,1010,2,
98056,665000,3320,4,
98144,834000,2370,4,
98065,201000,1660,5,
98119,2380000,3650,5,
98006,1380000,4290,4,
98006,1400000,4290,4,
98058,305000,1950,4,
98133,487000,2590,3,
98042,390000,1930,3,
98103,548000,1470,2,
98166,268750,800,4,
98052,819900,3150,5,
98027,520000,2030,3,
98001,230000,1450,3,
98023,240000,1510,3,
98146,232000,1240,2,
98146,240500,1240,2,
98077,274975,3030,3,
98102,740000,2050,4,
98166,186375,1000,3,
98005,790000,2370,3,
98105,880000,2800,4,
98198,279000,2240,6,
98022,295000,1810,3,
98103,640000,1070,2,
98040,940000,2490,4,
98038,260000,1960,4,
98072,559900,2930,3,
98103,791500,1510,4,
98133,265000,1420,3,
98178,245000,1740,3,
98052,485000,2560,4,
98059,684000,3040,4,
98125,425000,2500,3,
98070,309600,1275,4,
98065,552250,2580,4,
98178,165000,1000,4,
98178,239900,1000,4,
98059,320000,1070,2,
98030,206600,1390,3,
98155,387000,2500,4,
98014,299000,560,1,
98040,855000,2270,4,
98166,315000,1900,3,
98103,437500,990,2,
98001,252000,1550,4,
98118,375000,2200,4,
98038,300000,1910,4,
98006,420000,1750,4,
98033,900000,1330,3,
98116,679900,2440,3,
98053,463000,1640,3,
98059,380000,2760,5,
98038,329500,1820,4,
98033,604950,2110,3,
98006,795000,3040,5,
98045,465000,1840,3,
98166,673000,2990,4,
98074,810000,3520,4,
98075,785000,2440,4,
98056,338000,2090,4,
98056,280000,1430,3,
98133,315000,2180,4,
98133,530000,2180,4,
98023,380000,3450,5,
98056,297000,1450,3,
98075,730000,3230,4,
98125,450000,1640,3,
98038,275000,1590,3,
98115,595000,2020,4,
98144,435000,1300,3,
98011,270000,1380,2,
98077,950000,4040,3,
98019,389000,2130,4,
98052,560000,2550,4,
98006,1350000,4800,5,
98040,799000,2510,4,
98072,365500,1410,3,
98058,252350,1650,3,
98146,403950,2120,4,
98177,385000,2040,4,
98106,345000,1550,4,
98008,490000,1980,3,
98019,330000,1600,3,
98004,927000,3300,4,
98040,1120000,3840,4,
98028,330000,1220,2,
98008,530000,2720,5,
98006,365000,1940,4,
98118,378750,2160,3,
98058,269900,1530,4,
98122,557000,1710,3,
98022,360000,3730,4,
98117,352000,940,2,
98045,437000,1750,3,
98038,322500,1820,4,
98116,650000,1510,3,
98103,450000,1290,3,
98092,278500,1570,3,
98055,364950,1930,4,
98038,840000,2840,4,
98031,268000,1550,3,
98070,517534,833,2,
98077,632925,2990,3,
98034,577500,2000,3,
98178,339000,2390,4,
98052,570000,2910,3,
98024,563500,2085,4,
98133,423000,2200,4,
98019,355000,1860,3,
98024,1550000,6070,5,
98103,482000,950,2,
98006,625000,1600,3,
98056,538000,2250,3,
98058,380000,2280,3,
98122,375000,940,2,
98038,245000,1530,3,
98166,310000,2190,5,
98004,1300000,2350,3,
98034,397000,1440,4,
98058,365000,2200,3,
98042,328500,2290,4,
98052,988000,4040,4,
98103,1000000,2610,4,
98055,237000,1490,3,
98011,525000,2450,4,
98006,749000,1710,4,
98074,722500,4870,5,
98052,843000,3130,3,
98115,438000,1270,2,
98146,578000,2120,3,
98001,227950,1670,3,
98001,196000,2070,3,
98105,641000,1420,2,
98038,350000,1250,3,
98032,205000,940,3,
98072,400000,1920,3,
98027,1030000,3545,3,
98034,505000,1260,3,
98034,475000,2340,5,
98028,520000,2590,3,
98034,1450000,3970,3,
98011,333500,1220,3,
98038,232000,1400,3,
98006,691100,2360,3,
98040,811000,1870,3,
98028,551000,2830,3,
98072,496500,2260,3,
98070,705000,1970,3,
98055,578000,3140,4,
98042,255000,1240,3,
98006,1050000,3450,4,
98042,348000,2570,3,
98031,230000,1510,3,
98023,359500,2390,4,
98133,330000,980,3,
98014,80000,430,1,
98133,465000,1480,3,
98042,325000,1850,4,
98168,340500,2270,3,
98038,342500,1810,3,
98178,290900,1610,2,
98074,868700,3840,3,
98125,1200000,4110,4,
98074,1150000,4190,4,
98074,859900,3390,4,
98029,520000,1890,4,
98118,460000,1610,3,
98115,438924,1050,3,
98126,315000,630,2,
98033,590000,2910,4,
98006,378500,1700,4,
98042,328500,1950,3,
98005,849950,2990,3,
98136,525000,1350,3,
98074,1390000,4860,4,
98023,295000,2160,4,
98006,1070000,4860,6,
98118,207950,890,2,
98075,699900,2810,4,
98027,1280000,3400,5,
98052,452000,1580,4,
98055,370000,1680,3,
98042,232000,1300,3,
98034,669950,2820,5,
98034,397500,1510,3,
98112,490000,1230,2,
98116,725000,2110,4,
98032,299000,3080,3,
98116,625000,1490,2,
98065,437500,2120,3,
98065,650000,3180,4,
98117,475000,1490,2,
98042,342000,1930,3,
98033,1200000,2770,4,
98055,280000,1670,3,
98188,240000,1330,2,
98107,529000,1210,3,
98136,442000,1190,3,
98119,615000,1540,2,
98033,1490000,4030,4,
98052,585000,2430,4,
98059,480000,2600,4,
98053,1100000,4410,5,
98133,290000,1330,4,
98116,615000,1900,3,
98133,300000,1100,2,
98030,308000,1980,3,
98033,750000,2400,3,
98112,2250000,4760,4,
98059,890000,3180,4,
98058,288000,1190,3,
98178,190000,630,2,
98133,515000,2530,5,
98055,235000,1690,4,
98126,275000,940,2,
98004,727500,1240,2,
98053,650000,3040,4,
98024,1600000,6050,6,
98125,365000,1590,4,
98052,662000,2500,3,
98038,270500,1780,3,
98092,200000,1360,2,
98075,970000,4740,4,
98198,160000,1010,3,
98010,204000,1040,3,
98058,358000,1610,3,
98011,452000,1570,4,
98103,595000,1510,2,
98042,249000,1360,3,
98055,346900,1970,4,
98166,2130000,5403,3,
98056,280000,1560,4,
98032,318888,2320,4,
98075,530000,2120,3,
98031,375000,2120,3,
98052,910000,3350,4,
98006,782000,2380,4,
98106,259950,1070,2,
98058,315000,2300,4,
98168,215000,1320,2,
98040,705000,2180,3,
98199,1450000,4380,3,
98155,451000,1790,3,
98055,261000,750,2,
98028,396000,1300,3,
98059,725000,2990,4,
98040,1950000,4640,7,
98188,238000,1400,4,
98052,750000,2750,6,
98042,331500,2050,4,
98065,460000,2230,4,
98092,404950,2340,4,
98103,880000,2870,3,
98074,863000,4120,4,
98005,638700,2080,3,
98053,435000,1840,3,
98178,260000,1180,3,
98105,671500,2160,5,
98109,610000,1180,3,
98014,405000,1160,2,
98038,338900,1830,4,
98075,720000,3200,4,
98108,442000,2560,5,
98122,650000,2550,5,
98058,263500,1330,3,
98038,300000,1220,2,
98002,266000,1805,3,
98077,930000,6050,4,
98028,530000,2320,4,
98023,180000,1384,3,
98065,619000,2720,3,
98003,264000,1820,3,
98116,730000,2130,2,
98034,439000,2060,4,
98031,268500,1420,4,
98045,330000,1510,3,
98122,640000,2160,3,
98074,900000,3180,3,
98038,370000,2110,3,
98144,685000,2060,3,
98053,505000,1830,3,
98022,265000,1820,3,
98055,290000,1610,3,
98038,296000,1780,4,
98178,360000,1840,4,
98168,240500,1460,3,
98126,372500,1400,2,
98045,595000,3370,3,
98023,515000,3590,4,
98040,1220000,3200,4,
98053,507000,1670,2,
98092,399950,2420,4,
98010,185000,1430,3,
98052,460000,1440,3,
98029,435500,1450,3,
98188,469000,3550,4,
98103,531000,1270,2,
98177,443500,940,2,
98042,223000,1670,3,
98028,590000,3100,4,
98103,340000,1100,2,
98199,650000,1870,3,
98029,533600,1930,3,
98074,695000,2540,3,
98031,242000,1280,3,
98125,425000,1820,3,
98052,525000,1490,3,
98029,485000,1880,3,
98045,175000,1250,3,
98092,210000,1440,3,
98031,260000,1920,3,
98116,577000,2060,3,
98002,200000,1210,3,
98117,605000,1760,2,
98133,325000,990,3,
98178,289500,960,3,
98144,559950,1660,3,
98115,1040000,1900,3,
98199,543500,1270,3,
98042,480000,3250,4,
98022,218000,960,3,
98199,565000,1330,2,
98056,426700,2080,3,
98028,650000,2690,3,
98105,542000,890,2,
98052,415000,1070,3,
98002,214000,1200,3,
98188,245000,1360,3,
98003,314500,2050,3,
98116,1120000,3000,3,
98136,378000,1300,2,
98001,305000,2250,4,
98028,595000,3740,5,
98116,729500,1660,3,
98065,430000,2360,3,
98038,240000,1760,3,
98136,545000,1680,3,
98105,530000,1320,3,
98198,157000,870,1,
98146,425000,1260,4,
98166,220000,1000,3,
98077,521000,2020,4,
98118,325000,1920,3,
98126,597500,2150,3,
98065,337000,1470,3,
98052,1000000,3180,3,
98034,3070000,3930,3,
98105,495000,990,3,
98052,748000,2770,4,
98004,888000,1250,3,
98045,269900,1140,3,
98027,496500,2250,4,
98155,475000,1640,3,
98125,312000,1255,3,
98072,323000,1290,3,
98059,331000,1300,3,
98133,306000,1220,3,
98117,655000,2630,4,
98003,290000,1950,3,
98105,1250000,3160,4,
98115,460000,1550,3,
98115,435000,1700,4,
98006,664000,2510,4,
98102,865000,1800,4,
98058,385000,1800,3,
98034,497000,1870,3,
98045,280000,1010,2,
98178,188000,1120,2,
98136,478500,2090,3,
98065,1150000,4370,4,
98023,222000,1440,3,
98053,799000,2580,4,
98038,609900,3190,4,
98106,413000,2380,4,
98115,400000,1420,4,
98006,802541,2990,5,
98023,320000,2680,3,
98065,507000,2730,4,
98115,387500,1220,3,
98072,396000,1500,3,
98055,373000,1830,3,
98040,1480000,4570,5,
98058,359900,2470,4,
98115,410000,800,2,
98053,690000,2900,4,
98030,245000,1410,3,
98075,700000,2830,5,
98198,268000,1680,4,
98042,225000,1760,3,
98004,980000,2240,4,
98106,795000,1380,2,
98118,195000,820,2,
98005,480000,2180,4,
98119,485000,1400,4,
98188,130000,880,2,
98198,325000,1060,2,
98034,440000,1530,3,
98155,550000,2480,4,
98059,310000,1490,3,
98022,530000,3660,3,
98031,390000,2340,4,
98001,243000,1450,3,
98074,639000,2210,4,
98003,215000,1130,4,
98011,405000,1550,5,
98032,250000,1710,4,
98155,405500,1010,3,
98125,452000,2660,6,
98125,730000,2660,6,
98010,267000,1300,3,
98038,289950,1670,3,
98103,565000,960,2,
98005,1580000,4670,4,
98052,636000,2140,3,
98178,350000,2520,5,
98058,320000,1650,3,
98198,210000,1440,2,
98126,245000,1050,2,
98059,328000,1470,3,
98077,985000,4230,4,
98055,501000,1970,3,
98045,315000,1540,3,
98019,403000,2090,3,
98155,550000,2380,3,
98030,347500,2156,4,
98058,365000,2070,4,
98117,588000,1910,3,
98006,605000,1920,3,
98105,1300000,3400,3,
98001,233000,1400,3,
98030,360000,2210,4,
98117,459000,1170,2,
98077,740000,2100,3,
98077,305000,1160,3,
98117,395000,1500,3,
98011,560000,2940,4,
98116,650000,2010,4,
98028,449950,2170,3,
98117,517500,1430,3,
98034,435000,1510,4,
98155,329999,1150,3,
98116,950000,2150,3,
98108,447000,1370,3,
98053,699800,2380,2,
98112,850000,1370,3,
98023,316500,1600,3,
98006,942500,3750,5,
98116,1310000,3950,2,
98005,856600,2400,4,
98118,405600,2830,5,
98053,565000,2440,4,
98116,400000,1190,3,
98019,330000,1400,3,
98038,374950,2730,4,
98056,405300,2390,3,
98074,560000,2060,3,
98004,824000,2490,4,
98042,260000,1100,3,
98115,760000,2430,4,
98023,405000,3170,3,
98058,429900,2640,4,
98056,341500,1130,3,
98177,465250,1940,5,
98117,450000,1100,2,
98006,390000,1200,3,
98008,420000,2000,3,
98168,269950,1890,3,
98122,493000,1910,4,
98092,370000,2710,4,
98112,2250000,4860,5,
98059,305000,1250,3,
98034,400000,1590,3,
98133,320000,1240,3,
98103,715000,2000,4,
98008,650000,3610,6,
98023,218000,1930,5,
98117,500000,1280,2,
98027,460000,2090,4,
98003,232500,1940,3,
98106,408200,1800,3,
98052,522000,1730,3,
98074,675000,2810,4,
98006,1360000,3550,4,
98168,249950,1330,4,
98168,210000,750,2,
98133,429950,1760,4,
98053,737500,3200,4,
98033,710000,1740,4,
98065,470000,2100,3,
98077,1100000,4270,4,
98103,650000,1340,3,
98006,1220000,3190,4,
98034,422120,1630,3,
98011,625000,2990,5,
98126,385200,1550,4,
98029,500000,1690,3,
98042,308000,1960,4,
98006,565000,2390,3,
98053,581000,2600,3,
98042,361000,1950,3,
98008,345000,1250,3,
98122,419000,1180,2,
98056,347000,1680,3,
98075,625000,2220,4,
98040,2400000,4890,4,
98010,379000,2660,3,
98029,310000,1150,3,
98030,250000,1130,2,
98059,682000,2760,5,
98022,246500,1430,3,
98092,325000,1490,3,
98031,310950,2030,4,
98199,1100000,3010,3,
98133,287500,1810,3,
98133,431000,1810,3,
98118,226000,970,3,
98103,825000,2010,3,
98168,175000,1300,4,
98008,465750,1260,3,
98075,659000,2610,4,
98115,595000,1910,3,
98058,350000,1780,3,
98023,270000,1900,4,
98008,662500,2450,6,
98001,249900,1380,3,
98023,324500,1920,3,
98053,430000,1350,2,
98053,419950,1350,2,
98032,285000,2510,4,
98092,332000,2470,4,
98168,282000,1660,4,
98133,320000,1340,3,
98006,428750,1620,3,
98022,330000,2300,3,
98177,456500,2000,4,
98059,352000,1640,3,
98105,664000,1530,4,
98011,628000,4000,3,
98052,512000,1610,3,
98023,254000,2070,3,
98029,535800,1900,4,
98038,287653,1050,3,
98136,438000,1520,3,
98028,450000,2390,4,
98092,327000,2400,5,
98059,370500,1790,4,
98038,265000,1720,3,
98056,450000,2980,4,
98027,425000,1520,3,
98042,166600,1150,3,
98168,245000,380,1,
98115,565000,910,3,
98033,539900,1650,3,
98144,910000,2480,3,
98092,280000,2050,4,
98038,275000,1420,3,
98056,467000,3460,3,
98029,457500,1500,3,
98118,381156,1320,2,
98092,289999,2180,5,
98144,642450,1830,3,
98007,469950,1620,3,
98033,795000,2920,3,
98074,785000,3300,4,
98006,860000,3060,3,
98102,1100000,3064,0,
98031,147500,1530,3,
98011,390000,1910,3,
98198,229000,1020,3,
98168,185000,1150,3,
98115,414900,1260,3,
98136,200000,1920,4,
98092,225000,1800,4,
98105,720000,2040,3,
98119,930000,2200,4,
98004,1270000,3200,5,
98122,700000,2400,5,
98103,466000,1140,2,
98011,374000,1330,3,
98072,480000,1940,3,
98053,740000,3000,3,
98102,1010000,1820,4,
98042,395000,2910,4,
98106,340000,1090,2,
98106,209000,1230,3,
98007,431650,1710,5,
98040,980000,3160,5,
98077,660000,2680,3,
98033,730000,2190,4,
98042,291500,1260,3,
98040,905000,2970,4,
98077,800000,2570,4,
98056,839900,3810,4,
98126,200000,1010,1,
98058,300000,1480,3,
98115,530000,1250,3,
98038,314950,1654,3,
98031,255000,1410,3,
98144,550000,2160,5,
98136,435000,1400,3,
98002,234000,1420,3,
98052,615000,2500,4,
98001,205000,1410,3,
98106,384000,2100,4,
98055,324000,1750,3,
98115,645000,2070,3,
98107,570000,1570,3,
98031,324000,1920,3,
98106,270000,1000,2,
98058,290000,2120,5,
98198,250000,1440,3,
98014,342000,1660,3,
98188,255000,1340,3,
98040,800000,2380,3,
98126,451000,1560,3,
98033,990000,2780,4,
98031,288400,1860,4,
98118,420000,2390,3,
98133,359000,1370,2,
98058,390000,2570,4,
98118,300000,1320,3,
98034,545000,2520,5,
98010,288349,1250,3,
98092,299900,1560,3,
98117,891000,2330,4,
98117,1200000,3660,3,
98038,378000,2790,4,
98155,299995,1060,2,
98042,253000,2020,3,
98024,350000,1580,3,
98107,565000,2020,4,
98118,315000,970,2,
98136,570000,1490,4,
98125,971000,4390,5,
98112,915000,2750,5,
98166,419000,2150,4,
98023,260000,1810,4,
98004,1320000,2230,3,
98045,369950,2430,3,
98006,1030000,3680,3,
98118,435000,1410,5,
98125,601000,1330,3,
98033,460500,1490,3,
98103,720000,2020,3,
98075,851000,3130,4,
98126,550000,2670,4,
98103,700000,1980,4,
98042,323000,2100,3,
98177,345500,1350,3,
98118,378000,2140,4,
98116,650000,2208,4,
98074,385000,1010,3,
98102,425000,970,2,
98022,210000,1520,4,
98077,630000,2740,4,
98146,335000,1570,3,
98001,196500,1320,3,
98074,582800,2550,4,
98034,440000,1560,3,
98033,752500,2360,4,
98116,532500,1330,3,
98198,265000,1070,3,
98125,397500,1510,3,
98029,524250,1710,3,
98027,765000,2790,4,
98074,648000,2620,4,
98031,469500,2970,5,
98023,237500,1050,3,
98003,216000,1280,3,
98056,427200,1030,3,
98055,280000,1900,3,
98006,718000,3070,5,
98065,420000,1760,2,
98117,379000,930,2,
98177,326100,880,2,
98115,535000,1360,3,
98022,283000,2130,4,
98168,260000,1480,3,
98126,399000,1500,4,
98029,484950,1670,3,
98005,640000,2060,4,
98115,585000,2160,4,
98125,645000,2780,4,
98003,253000,1490,3,
98146,178500,740,2,
98038,291000,1860,4,
98001,199950,1590,2,
98105,553500,850,2,
98038,189950,1030,2,
98001,289000,1850,3,
98105,700000,1830,4,
98058,270000,1560,3,
98023,258000,1730,4,
98125,530000,1930,3,
98092,245000,1422,3,
98117,563000,1380,3,
98065,515000,2430,3,
98023,325000,2610,4,
98024,540000,2000,3,
98103,280300,920,2,
98117,460000,1750,4,
98072,475000,2020,3,
98007,900000,2460,4,
98008,538200,1780,4,
98122,429000,1080,2,
98178,164808,1250,3,
98052,520000,1870,4,
98125,475000,1700,3,
98168,283000,1480,4,
98030,321500,1930,4,
98077,840000,3130,4,
98038,287000,1370,3,
98052,375000,960,3,
98034,349500,1260,3,
98126,446450,1480,3,
98031,315000,1930,4,
98144,271310,870,2,
98133,315000,1300,4,
98030,245000,1490,3,
98199,543115,1380,2,
98117,900000,1190,4,
98144,2450000,4250,4,
98053,554000,1920,2,
98001,249900,2080,3,
98006,768000,3220,3,
98199,980000,3680,4,
98146,395000,2070,5,
98103,415000,1480,3,
98038,380000,2000,4,
98075,566000,1560,3,
98002,218500,1600,2,
98052,550000,1940,4,
98117,512031,1540,3,
98055,197500,820,2,
98033,470000,1780,3,
98053,590000,1560,3,
98011,465000,2210,4,
98027,499000,2040,2,
98006,515000,1920,3,
98105,716500,1930,3,
98199,410000,1700,3,
98136,850000,3450,4,
98033,1050000,3440,4,
98075,648000,2380,4,
98117,620000,2400,4,
98010,935000,5670,4,
98034,379000,1140,3,
98199,699000,1670,3,
98125,528000,1910,4,
98056,425000,1560,3,
98042,249500,1500,2,
98053,1040000,4475,5,
98136,790000,2840,4,
98027,399950,1020,3,
98133,275000,1410,3,
98109,550000,1520,3,
98055,140000,730,1,
98108,250000,1190,3,
98198,318000,1410,3,
98075,505000,1240,2,
98006,470500,2500,5,
98125,360000,1050,3,
98006,1240000,2680,4,
98136,986000,2380,3,
98112,515000,1060,2,
98168,320000,2300,3,
98178,310000,2010,4,
98126,356700,1090,2,
98199,775000,2320,4,
98133,325000,1040,3,
98198,208000,1810,4,
98178,825000,1150,2,
98003,515000,2360,3,
98122,490000,1970,3,
98166,675000,2690,4,
98144,360000,2080,4,
98144,550000,2080,4,
98168,225000,1370,3,
98058,500000,3410,3,
98059,385000,1850,4,
98052,837700,3010,5,
98053,448000,1530,3,
98004,730000,2690,5,
98136,575000,2810,4,
98034,430000,1810,3,
98053,435000,1560,3,
98092,241000,1010,3,
98109,453500,1000,2,
98133,285000,990,2,
98056,151000,720,2,
98059,1570000,6070,5,
98122,631000,2270,5,
98126,285000,1380,2,
98023,195000,1260,3,
98075,817500,2910,4,
98007,550000,1810,3,
98033,1130000,3160,4,
98119,609850,1910,2,
98106,200000,1230,3,
98038,367000,2960,4,
98092,285167,2200,3,
98003,275000,1270,2,
98030,350900,2540,4,
98029,660000,3030,4,
98008,525000,1520,3,
98168,262000,1560,4,
98103,690000,970,2,
98019,624000,3570,5,
98125,353000,1350,3,
98056,552500,3710,4,
98092,224500,1430,4,
98146,239000,940,3,
98029,975000,4300,5,
98059,1200000,3990,4,
98112,505000,1380,3,
98059,302000,2020,4,
98106,170000,1480,3,
98027,195000,1190,2,
98056,272000,2550,5,
98056,369000,2550,5,
98125,332500,1500,3,
98008,515000,3000,3,
98178,269000,1690,3,
98059,1280000,4390,4,
98055,303000,1560,3,
98155,420000,2940,7,
98117,400000,1130,3,
98022,225000,1020,3,
98038,219000,1310,2,
98011,605000,2570,3,
98115,625000,2020,4,
98144,380000,1680,5,
98007,620000,1770,4,
98075,687500,3190,4,
98058,225500,1440,4,
98178,252500,1150,3,
98029,510000,1860,3,
98155,510000,2430,4,
98109,725000,1940,3,
98022,75000,670,1,
98103,492000,880,2,
98072,425000,1930,4,
98034,1960000,3120,4,
98092,298900,1830,3,
98027,699000,3230,4,
98103,310000,700,2,
98033,350000,1010,3,
98178,790000,2460,4,
98031,305000,2230,4,
98118,315000,1570,3,
98042,267500,2390,5,
98115,1750000,3460,4,
